role,description,required_skills
Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.","Active Learning, Active Listening, AdSense Tracker, Adobe Acrobat, Atlassian JIRA, Blackbaud The Raiser's Edge, Complex Problem Solving, ComputerEase construction accounting software, Coordination, Critical Thinking, Database reporting software, Databox, Email software, Exact Software Macola ES Labor Performance, Extensible markup language XML, Fund accounting software, Graphic presentation software, Intuit QuickBooks, Judgment and Decision Making, Management of Financial Resources, Management of Material Resources, Management of Personnel Resources, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft SharePoint, Microsoft Word, Monitoring, Negotiation, Oracle PeopleSoft, PHP, Persuasion, Reading Comprehension, SAP software, Social Perceptiveness, Speaking, Structured query language SQL, Systems Analysis, Systems Evaluation, Time Management, Writing"
Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.","Active Learning, Active Listening, Adobe Acrobat, Adobe Photoshop, Complex Problem Solving, Coordination, Critical Thinking, Email software, Facebook, Judgment and Decision Making, Management information systems MIS, Microsoft Access, Microsoft Dynamics GP, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft SharePoint, Microsoft Word, Monitoring, Persuasion, Reading Comprehension, SAP software, Salesforce software, Scheduling software, Social Perceptiveness, Speaking, Structure query language SQL, Systems Analysis, Systems Evaluation, Tableau, Teleconferencing software, Web browser software, Writing"
General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.","Active Learning, Active Listening, Adobe Acrobat, Adobe Creative Cloud software, Adobe Photoshop, Amazon Web Services AWS software, Apache Hadoop, Apple macOS, Atlassian Confluence, Atlassian JIRA, Autodesk AutoCAD, Complex Problem Solving, Coordination, Critical Thinking, Extensible markup language XML, Facebook, Google Analytics, Google Docs, HubSpot software, IBM SPSS Statistics, Intuit QuickBooks, Judgment and Decision Making, Kronos Workforce Timekeeper, Management of Personnel Resources, Marketo Marketing Automation, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft SharePoint, Monitoring, Negotiation, Persuasion, Reading Comprehension, Social Perceptiveness, Speaking, Time Management, Writing"
Legislators,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.","Adobe Acrobat, Adobe FrameMaker, Antenna House, Apple Numbers for Mac, Apple iWork Keynote, Apple iWork Pages, Cisco AnyConnect, Cisco Webex, Corel WordPerfect Office Suite, GoodReader, IBM Domino, Legislative Automative Workflow System LAWS, LogMeIn GoToMeeting, Mapping software, Meeting scheduling software, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft SQL Server, Microsoft SharePoint, Microsoft Visual Basic, Microsoft Word, Structured query language SQL, iAnnotate"
Advertising and Promotions Managers,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.","Active Listening, Adobe Acrobat, Adobe After Effects, Adobe Creative Cloud software, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Complex Problem Solving, Coordination, Critical Thinking, Extensible markup language XML, Facebook, Google Analytics, HubSpot software, Hypertext markup language HTML, JavaScript, Judgment and Decision Making, Marketo Marketing Automation, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft SQL Server, Microsoft SharePoint, Microsoft Windows, Microsoft Word, Reading Comprehension, SAP software, Salesforce software, Social Perceptiveness, Speaking, Time Management, Writing"
Marketing Managers,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.","Active Learning, Active Listening, Adobe Acrobat, Adobe After Effects, Adobe Creative Cloud software, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Amazon Redshift, Amazon Web Services AWS software, Apache Cassandra, Apache Hadoop, Apache Hive, Apple macOS, Asana, Atlassian Confluence, Atlassian JIRA, C, Canva, Cascading style sheets CSS, Complex Problem Solving, Coordination, Critical Thinking, Elasticsearch, Extensible markup language XML, Facebook, Figma, GitHub, Google Analytics, Google Docs, Judgment and Decision Making, Monitoring, Negotiation, Persuasion, Reading Comprehension, Social Perceptiveness, Speaking, Systems Evaluation, Time Management"
Sales Managers,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.","Active Learning, Active Listening, Adobe Acrobat, Adobe Creative Cloud software, Bentley MicroStation, Complex Problem Solving, Coordination, Critical Thinking, Eclipse IDE, Facebook, Google Analytics, Google Docs, HubSpot software, Hypertext markup language HTML, IBM SPSS Statistics, Instructing, Judgment and Decision Making, Management of Personnel Resources, Marketo Marketing Automation, Microsoft Access, Microsoft Azure software, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft SQL Server, Microsoft SharePoint, Microsoft Teams, Microsoft Visio, Microsoft Visual Basic, Microsoft Visual Basic for Applications VBA, Microsoft Windows, Monitoring, Negotiation, Persuasion, Reading Comprehension, Service Orientation, Social Perceptiveness, Speaking, Systems Analysis, Systems Evaluation, Time Management, Writing"
Public Relations Managers,"Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client.","Adobe Acrobat, Adobe After Effects, Adobe Creative Cloud software, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Canva, Facebook, Google Analytics, Google Docs, Google Workspace software, HubSpot software, Hypertext markup language HTML, Marketo Marketing Automation, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft SharePoint, Microsoft Word, Salesforce software, Slack, Teradata Database"
Fundraising Managers,"Plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations.","Active Listening, Adobe Acrobat, Adobe After Effects, Adobe Creative Cloud software, Adobe Distiller, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Complex Problem Solving, Coordination, Critical Thinking, Facebook, Google Analytics, Google Docs, HubSpot software, Hypertext markup language HTML, Judgment and Decision Making, Marketo Marketing Automation, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft SharePoint, Microsoft Word, Persuasion, Reading Comprehension, Salesforce software, Slack, Social Perceptiveness, Speaking, Teradata Database, Time Management, Writing, Yardi software"
Administrative Services Managers,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services.","ADP Enterprise HR, ADP Workforce Now, Active Listening, Adobe Acrobat, Adobe PageMaker, Atlassian JIRA, Autodesk AutoCAD, Coordination, Critical Thinking, Google Docs, IBM SPSS Statistics, Intuit QuickBooks, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft SharePoint, Microsoft Visio, Microsoft Word, Negotiation, Oracle PeopleSoft, Oracle Primavera Enterprise Project Portfolio Management, R, Reading Comprehension, SAP software, SAS, Speaking, Teradata Database, Time Management, Writing, Yardi software"
