title,url,skill_taught,level,duration_hours
Intro to Python,https://www.coursera.org,Python,beginner,10
Python Fundamentals,https://www.udemy.com,Python,beginner,10
Advanced Python,https://www.edx.org,Python,advanced,24
Python for Professionals,https://www.linkedin.com/learning,Python,intermediate,18
Intro to JavaScript,https://www.coursera.org,JavaScript,beginner,10
JavaScript Fundamentals,https://www.udemy.com,JavaScript,beginner,10
Advanced JavaScript,https://www.edx.org,JavaScript,advanced,24
JavaScript for Professionals,https://www.linkedin.com/learning,JavaScript,intermediate,18
Intro to Critical Thinking,https://www.coursera.org,Critical Thinking,beginner,10
Critical Thinking Fundamentals,https://www.udemy.com,Critical Thinking,beginner,10
Advanced Critical Thinking,https://www.edx.org,Critical Thinking,advanced,24
Critical Thinking for Professionals,https://www.linkedin.com/learning,Critical Thinking,intermediate,18
